obj_key,состояние площадки,Площадь,Генпроектировщик,Генподрядчик,Кол-во рабочих,date_report
020-0710,"Свободна, передана",8067.83,8,5,186.0,2023.03.06
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.06
019-0675,"Свободна, передана",8844.0,26,18,169.0,2023.03.06
020-0709,"Свободна, не передана",6848.84,27,1,95.0,2023.03.06
020-0683,"Свободна, не передана",7515.86,27,1,37.0,2023.03.06
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.06
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.06
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.06
019-0594,Занята,17488.0,1,2,,2023.03.06
020-0156,Занята,13288.0,21,15,,2023.03.06
019-0676,"Свободна, не передана",6291.0,29,20,112.0,2023.03.06
019-0674,Занята,9030.0,6,0,,2023.03.06
020-0157,Занята,7243.9,30,7,53.0,2023.03.06
017-0527,Занята,14784.0,8,5,,2023.03.06
023-0091,,17000.0,0,0,,2023.03.07
022-0170,"Свободна, передана",16402.54,1,2,464.0,2023.03.07
022-0526,Занята,18100.0,0,0,,2023.03.07
022-0527,Не передана,9850.0,0,0,,2023.03.07
022-0522,Не передана,13260.0,0,0,,2023.03.07
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.07
022-0525,Не передана,9900.0,0,0,,2023.03.07
022-0523,,27225.0,0,0,,2023.03.07
023-0093,,17000.0,0,0,,2023.03.07
023-0089,,7500.0,0,0,,2023.03.07
022-0524,Занята,6800.0,0,0,,2023.03.07
022-0528,Занята,12225.0,0,0,,2023.03.07
022-0354,Занята,20271.0,0,0,,2023.03.07
022-0176,Не передана,17000.0,4,0,,2023.03.07
020-0720,"Свободна, передана",20164.69,9,6,223.0,2023.03.07
019-0429,"Свободна, передана",11410.0,11,7,99.0,2023.03.07
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.07
019-0428,"Свободна, передана",9067.1,12,4,46.0,2023.03.07
019-0431,"Свободна, передана",19433.4,22,16,171.0,2023.03.07
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.07
020-0710,"Свободна, передана",8067.83,8,5,186.0,2023.03.07
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.07
019-0675,"Свободна, передана",8844.0,26,18,169.0,2023.03.07
020-0709,"Свободна, не передана",6848.84,27,1,95.0,2023.03.07
020-0683,"Свободна, не передана",7515.86,27,1,37.0,2023.03.07
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.07
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.07
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.07
019-0594,Занята,17488.0,1,2,,2023.03.07
020-0156,Занята,13288.0,21,15,,2023.03.07
019-0676,"Свободна, не передана",6291.0,29,20,112.0,2023.03.07
019-0674,Занята,9030.0,6,0,,2023.03.07
020-0157,Занята,7243.9,30,7,53.0,2023.03.07
017-0527,Занята,14784.0,8,5,,2023.03.07
023-0091,,17000.0,0,0,,2023.03.08
022-0170,"Свободна, передана",16402.54,1,2,492.0,2023.03.08
022-0526,Занята,18100.0,0,0,,2023.03.08
022-0527,Не передана,9850.0,0,0,,2023.03.08
022-0522,Не передана,13260.0,0,0,,2023.03.08
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.08
022-0525,Не передана,9900.0,0,0,,2023.03.08
022-0523,,27225.0,0,0,,2023.03.08
023-0093,,17000.0,0,0,,2023.03.08
023-0089,,7500.0,0,0,,2023.03.08
022-0524,Занята,6800.0,0,0,,2023.03.08
022-0528,Занята,12225.0,0,0,,2023.03.08
022-0354,Занята,20271.0,0,0,,2023.03.08
022-0176,Не передана,17000.0,4,0,,2023.03.08
020-0720,"Свободна, передана",20164.69,9,6,216.0,2023.03.08
019-0429,"Свободна, передана",11410.0,11,7,99.0,2023.03.08
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.08
019-0428,"Свободна, передана",9067.1,12,4,46.0,2023.03.08
019-0431,"Свободна, передана",19433.4,22,16,181.0,2023.03.08
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.08
020-0710,"Свободна, передана",8067.83,8,5,186.0,2023.03.08
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.08
019-0675,"Свободна, передана",8844.0,26,18,168.0,2023.03.08
020-0709,"Свободна, не передана",6848.84,27,1,85.0,2023.03.08
020-0683,"Свободна, не передана",7515.86,27,1,39.0,2023.03.08
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.08
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.08
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.08
019-0594,Занята,17488.0,1,2,,2023.03.08
020-0156,Занята,13288.0,21,15,,2023.03.08
019-0676,"Свободна, не передана",6291.0,29,20,106.0,2023.03.08
019-0674,Занята,9030.0,6,0,,2023.03.08
020-0157,Занята,7243.9,30,7,49.0,2023.03.08
017-0527,Занята,14784.0,8,5,,2023.03.08
023-0091,,17000.0,0,0,,2023.03.09
022-0170,"Свободна, передана",16402.54,1,2,492.0,2023.03.09
022-0526,Занята,18100.0,0,0,,2023.03.09
022-0527,Не передана,9850.0,0,0,,2023.03.09
022-0522,Не передана,13260.0,0,0,,2023.03.09
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.09
022-0525,Не передана,9900.0,0,0,,2023.03.09
022-0523,,27225.0,0,0,,2023.03.09
023-0093,,17000.0,0,0,,2023.03.09
023-0089,,7500.0,0,0,,2023.03.09
022-0524,Занята,6800.0,0,0,,2023.03.09
022-0528,Занята,12225.0,0,0,,2023.03.09
022-0354,Занята,20271.0,0,0,,2023.03.09
022-0176,Не передана,17000.0,4,0,,2023.03.09
020-0720,"Свободна, передана",20164.69,9,6,216.0,2023.03.09
019-0429,"Свободна, передана",11410.0,11,7,99.0,2023.03.09
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.09
019-0428,"Свободна, передана",9067.1,12,4,46.0,2023.03.09
019-0431,"Свободна, передана",19433.4,22,16,181.0,2023.03.09
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.09
020-0710,"Свободна, передана",8067.83,8,5,186.0,2023.03.09
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.09
019-0675,"Свободна, передана",8844.0,26,18,168.0,2023.03.09
020-0709,"Свободна, не передана",6848.84,27,1,85.0,2023.03.09
020-0683,"Свободна, не передана",7515.86,27,1,39.0,2023.03.09
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.09
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.09
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.09
019-0594,Занята,17488.0,1,2,,2023.03.09
020-0156,Занята,13288.0,21,15,,2023.03.09
019-0676,"Свободна, не передана",6291.0,29,20,106.0,2023.03.09
019-0674,Занята,9030.0,6,0,,2023.03.09
020-0157,Занята,7243.9,30,7,49.0,2023.03.09
017-0527,Занята,14784.0,8,5,,2023.03.09
023-0091,,17000.0,0,0,,2023.03.10
022-0170,"Свободна, передана",16402.54,1,2,492.0,2023.03.10
022-0526,Занята,18100.0,0,0,,2023.03.10
022-0527,Не передана,9850.0,0,0,,2023.03.10
022-0522,Не передана,13260.0,0,0,,2023.03.10
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.10
022-0525,Не передана,9900.0,0,0,,2023.03.10
022-0523,,27225.0,0,0,,2023.03.10
023-0093,,17000.0,0,0,,2023.03.10
023-0089,,7500.0,0,0,,2023.03.10
022-0524,Занята,6800.0,0,0,,2023.03.10
022-0528,Занята,12225.0,0,0,,2023.03.10
022-0354,Занята,20271.0,0,0,,2023.03.10
022-0176,Не передана,17000.0,4,0,,2023.03.10
020-0720,"Свободна, передана",20164.69,9,6,216.0,2023.03.10
019-0429,"Свободна, передана",11410.0,11,7,99.0,2023.03.10
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.10
019-0428,"Свободна, передана",9067.1,12,4,46.0,2023.03.10
019-0431,"Свободна, передана",19433.4,22,16,181.0,2023.03.10
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.10
020-0710,"Свободна, передана",8067.83,8,5,186.0,2023.03.10
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.10
019-0675,"Свободна, передана",8844.0,26,18,168.0,2023.03.10
020-0709,"Свободна, не передана",6848.84,27,1,85.0,2023.03.10
020-0683,"Свободна, не передана",7515.86,27,1,39.0,2023.03.10
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.10
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.10
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.10
019-0594,Занята,17488.0,1,2,,2023.03.10
020-0156,Занята,13288.0,21,15,,2023.03.10
019-0676,"Свободна, не передана",6291.0,29,20,106.0,2023.03.10
019-0674,Занята,9030.0,6,0,,2023.03.10
020-0157,Занята,7243.9,30,7,49.0,2023.03.10
017-0527,Занята,14784.0,8,5,,2023.03.10
023-0091,,17000.0,0,0,,2023.03.12
022-0170,"Свободна, передана",16402.54,1,2,492.0,2023.03.12
022-0526,Занята,18100.0,0,0,,2023.03.12
022-0527,Не передана,9850.0,0,0,,2023.03.12
022-0522,Не передана,13260.0,0,0,,2023.03.12
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.12
022-0525,Не передана,9900.0,0,0,,2023.03.12
022-0523,,27225.0,0,0,,2023.03.12
023-0093,,17000.0,0,0,,2023.03.12
023-0089,,7500.0,0,0,,2023.03.12
022-0524,Занята,6800.0,0,0,,2023.03.12
022-0528,Занята,12225.0,0,0,,2023.03.12
022-0354,Занята,20271.0,0,0,,2023.03.12
022-0176,Не передана,17000.0,4,0,,2023.03.12
020-0720,"Свободна, передана",20164.69,9,6,216.0,2023.03.12
019-0429,"Свободна, передана",11410.0,11,7,99.0,2023.03.12
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.12
019-0428,"Свободна, передана",9067.1,12,4,48.0,2023.03.12
019-0431,"Свободна, передана",19433.4,22,16,181.0,2023.03.12
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.12
020-0710,"Свободна, передана",8067.83,8,5,186.0,2023.03.12
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.12
019-0675,"Свободна, передана",8844.0,26,18,168.0,2023.03.12
020-0709,"Свободна, не передана",6848.84,27,1,85.0,2023.03.12
020-0683,"Свободна, не передана",7515.86,27,1,39.0,2023.03.12
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.12
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.12
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.12
019-0594,Занята,17488.0,1,2,,2023.03.12
020-0156,Занята,13288.0,21,15,,2023.03.12
019-0676,"Свободна, не передана",6291.0,29,20,106.0,2023.03.12
019-0674,Занята,9030.0,6,0,,2023.03.12
020-0157,Занята,7243.9,30,7,49.0,2023.03.12
017-0527,Занята,14784.0,8,5,,2023.03.12
023-0091,,17000.0,0,0,,2023.03.13
022-0170,"Свободна, передана",16402.54,1,2,492.0,2023.03.13
022-0526,Занята,18100.0,0,0,,2023.03.13
022-0527,Не передана,9850.0,0,0,,2023.03.13
022-0522,Не передана,13260.0,0,0,,2023.03.13
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.13
022-0525,Не передана,9900.0,0,0,,2023.03.13
022-0523,,27225.0,0,0,,2023.03.13
023-0093,,17000.0,0,0,,2023.03.13
023-0089,,7500.0,0,0,,2023.03.13
022-0524,Занята,6800.0,0,0,,2023.03.13
022-0528,Занята,12225.0,0,0,,2023.03.13
022-0354,Занята,20271.0,0,0,,2023.03.13
022-0176,Не передана,17000.0,4,0,,2023.03.13
020-0720,"Свободна, передана",20164.69,9,6,203.0,2023.03.13
019-0429,"Свободна, передана",11410.0,11,7,97.0,2023.03.13
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.13
019-0428,"Свободна, передана",9067.1,12,4,48.0,2023.03.13
019-0431,"Свободна, передана",19433.4,22,16,181.0,2023.03.13
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.13
020-0710,"Свободна, передана",8067.83,8,5,185.0,2023.03.13
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.13
019-0675,"Свободна, передана",8844.0,26,18,167.0,2023.03.13
020-0709,"Свободна, не передана",6848.84,27,1,85.0,2023.03.13
020-0683,"Свободна, не передана",7515.86,27,1,37.0,2023.03.13
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.13
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.13
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.13
019-0594,Занята,17488.0,1,2,,2023.03.13
020-0156,Занята,13288.0,21,15,,2023.03.13
019-0676,"Свободна, не передана",6291.0,29,20,108.0,2023.03.13
019-0674,Занята,9030.0,6,0,,2023.03.13
020-0157,Занята,7243.9,30,7,8.0,2023.03.13
017-0527,Занята,14784.0,8,5,,2023.03.13
023-0091,,17000.0,0,0,,2023.03.14
022-0170,"Свободна, передана",16402.54,1,2,492.0,2023.03.14
022-0526,Занята,18100.0,0,0,,2023.03.14
022-0527,Не передана,9850.0,0,0,,2023.03.14
022-0522,Не передана,13260.0,0,0,,2023.03.14
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.14
022-0525,Не передана,9900.0,0,0,,2023.03.14
022-0523,,27225.0,0,0,,2023.03.14
023-0093,,17000.0,0,0,,2023.03.14
023-0089,,7500.0,0,0,,2023.03.14
022-0524,Занята,6800.0,0,0,,2023.03.14
022-0528,Занята,12225.0,0,0,,2023.03.14
022-0354,Занята,20271.0,0,0,,2023.03.14
022-0176,Не передана,17000.0,4,0,,2023.03.14
020-0720,"Свободна, передана",20164.69,9,6,203.0,2023.03.14
019-0429,"Свободна, передана",11410.0,11,7,97.0,2023.03.14
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.14
019-0428,"Свободна, передана",9067.1,12,4,48.0,2023.03.14
019-0431,"Свободна, передана",19433.4,22,16,181.0,2023.03.14
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.14
020-0710,"Свободна, передана",8067.83,8,5,185.0,2023.03.14
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.14
019-0675,"Свободна, передана",8844.0,26,18,167.0,2023.03.14
020-0709,"Свободна, не передана",6848.84,27,1,85.0,2023.03.14
020-0683,"Свободна, не передана",7515.86,27,1,37.0,2023.03.14
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.14
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.14
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.14
019-0594,Занята,17488.0,1,2,,2023.03.14
020-0156,Занята,13288.0,21,15,,2023.03.14
019-0676,"Свободна, не передана",6291.0,29,20,108.0,2023.03.14
019-0674,Занята,9030.0,6,0,,2023.03.14
020-0157,Занята,7243.9,30,7,8.0,2023.03.14
017-0527,Занята,14784.0,8,5,,2023.03.14
023-0091,,17000.0,0,0,,2023.03.15
022-0170,"Свободна, передана",16402.54,1,2,458.0,2023.03.15
022-0526,Занята,18100.0,0,0,,2023.03.15
022-0527,Не передана,9850.0,0,0,,2023.03.15
022-0522,Не передана,13260.0,0,0,,2023.03.15
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.15
022-0525,Не передана,9900.0,0,0,,2023.03.15
022-0523,,27225.0,0,0,,2023.03.15
023-0093,,17000.0,0,0,,2023.03.15
023-0089,,7500.0,0,0,,2023.03.15
022-0524,Занята,6800.0,0,0,,2023.03.15
022-0528,Занята,12225.0,0,0,,2023.03.15
022-0354,Занята,20271.0,0,0,,2023.03.15
022-0176,Не передана,17000.0,4,0,,2023.03.15
020-0720,"Свободна, передана",20164.69,9,6,221.0,2023.03.15
019-0429,"Свободна, передана",11410.0,11,7,98.0,2023.03.15
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.15
019-0428,"Свободна, передана",9067.1,12,4,48.0,2023.03.15
019-0431,"Свободна, передана",19433.4,22,16,183.0,2023.03.15
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.15
020-0710,"Свободна, передана",8067.83,8,5,187.0,2023.03.15
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.15
019-0675,"Свободна, передана",8844.0,26,18,165.0,2023.03.15
020-0709,"Свободна, не передана",6848.84,27,1,95.0,2023.03.15
020-0683,"Свободна, не передана",7515.86,27,1,37.0,2023.03.15
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.15
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.15
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.15
019-0594,Занята,17488.0,1,2,,2023.03.15
020-0156,Занята,13288.0,21,15,,2023.03.15
019-0676,"Свободна, не передана",6291.0,29,20,94.0,2023.03.15
019-0674,Занята,9030.0,6,0,,2023.03.15
020-0157,Занята,7243.9,30,7,55.0,2023.03.15
017-0527,Занята,14784.0,8,5,,2023.03.15
023-0091,,17000.0,0,0,,2023.03.16
022-0170,"Свободна, передана",16402.54,1,2,458.0,2023.03.16
022-0526,Занята,18100.0,0,0,,2023.03.16
022-0527,Не передана,9850.0,0,0,,2023.03.16
022-0522,Не передана,13260.0,0,0,,2023.03.16
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.16
022-0525,Не передана,9900.0,0,0,,2023.03.16
022-0523,,27225.0,0,0,,2023.03.16
023-0093,Не передана,17000.0,0,0,,2023.03.16
023-0089,Не передана,7500.0,0,0,,2023.03.16
022-0524,Занята,6800.0,0,0,,2023.03.16
022-0528,Занята,12225.0,0,0,,2023.03.16
022-0354,Занята,20271.0,0,0,,2023.03.16
022-0176,Не передана,17000.0,4,0,,2023.03.16
020-0720,"Свободна, передана",20164.69,9,6,221.0,2023.03.16
019-0429,"Свободна, передана",11410.0,11,7,98.0,2023.03.16
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.16
019-0428,"Свободна, передана",9067.1,12,4,48.0,2023.03.16
019-0431,"Свободна, передана",19433.4,22,16,183.0,2023.03.16
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.16
020-0710,"Свободна, передана",8067.83,8,5,187.0,2023.03.16
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.16
019-0675,"Свободна, передана",8844.0,26,18,165.0,2023.03.16
020-0709,"Свободна, не передана",6848.84,27,1,95.0,2023.03.16
020-0683,"Свободна, не передана",7515.86,27,1,38.0,2023.03.16
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.16
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.16
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.16
019-0594,Занята,17488.0,1,2,,2023.03.16
020-0156,Занята,13288.0,21,15,,2023.03.16
019-0676,"Свободна, не передана",6291.0,29,20,94.0,2023.03.16
019-0674,Занята,9030.0,6,0,,2023.03.16
020-0157,Занята,7243.9,30,7,55.0,2023.03.16
017-0527,Занята,14784.0,8,5,,2023.03.16
023-0091,,17000.0,0,0,,2023.03.17
022-0170,"Свободна, передана",16402.54,1,2,458.0,2023.03.17
022-0526,Занята,18100.0,0,0,,2023.03.17
022-0527,Не передана,9850.0,0,0,,2023.03.17
022-0522,Не передана,13260.0,0,0,,2023.03.17
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.17
022-0525,Не передана,9900.0,0,0,,2023.03.17
022-0523,,27225.0,0,0,,2023.03.17
023-0093,Не передана,17000.0,0,0,,2023.03.17
023-0089,Не передана,7500.0,0,0,,2023.03.17
022-0524,Занята,6800.0,0,0,,2023.03.17
022-0528,Занята,12225.0,0,0,,2023.03.17
022-0354,Занята,20271.0,0,0,,2023.03.17
022-0176,Не передана,17000.0,4,0,,2023.03.17
020-0720,"Свободна, передана",20164.69,9,6,221.0,2023.03.17
019-0429,"Свободна, передана",11410.0,11,7,98.0,2023.03.17
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.17
019-0428,"Свободна, передана",9067.1,12,4,48.0,2023.03.17
019-0431,"Свободна, передана",19433.4,22,16,183.0,2023.03.17
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.17
020-0710,"Свободна, передана",8067.83,8,5,187.0,2023.03.17
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.17
019-0675,"Свободна, передана",8844.0,26,18,165.0,2023.03.17
020-0709,"Свободна, не передана",6848.84,27,1,95.0,2023.03.17
020-0683,"Свободна, не передана",7515.86,27,1,38.0,2023.03.17
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.17
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.17
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.17
019-0594,Занята,17488.0,1,2,,2023.03.17
020-0156,Занята,13288.0,21,15,,2023.03.17
019-0676,"Свободна, не передана",6291.0,29,20,94.0,2023.03.17
019-0674,Занята,9030.0,6,0,,2023.03.17
020-0157,Занята,7243.9,30,7,55.0,2023.03.17
017-0527,Занята,14784.0,8,5,,2023.03.17
023-0091,,17000.0,0,0,,2023.03.19
022-0170,"Свободна, передана",16402.54,1,2,458.0,2023.03.19
022-0526,Занята,18100.0,0,0,,2023.03.19
022-0527,Не передана,9850.0,0,0,,2023.03.19
022-0522,Не передана,13260.0,0,0,,2023.03.19
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.19
022-0525,Не передана,9900.0,0,0,,2023.03.19
022-0523,,27225.0,0,0,,2023.03.19
023-0093,Не передана,17000.0,0,0,,2023.03.19
023-0089,Не передана,7500.0,0,0,,2023.03.19
022-0524,Занята,6800.0,0,0,,2023.03.19
022-0528,Занята,12225.0,0,0,,2023.03.19
022-0354,Занята,20271.0,0,0,,2023.03.19
022-0176,Не передана,17000.0,4,0,,2023.03.19
020-0720,"Свободна, передана",20164.69,9,6,221.0,2023.03.19
019-0429,"Свободна, передана",11410.0,11,7,98.0,2023.03.19
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.19
019-0428,"Свободна, передана",9067.1,12,4,48.0,2023.03.19
019-0431,"Свободна, передана",19433.4,22,16,183.0,2023.03.19
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.19
020-0710,"Свободна, передана",8067.83,8,5,187.0,2023.03.19
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.19
019-0675,"Свободна, передана",8844.0,26,18,165.0,2023.03.19
020-0709,"Свободна, не передана",6848.84,27,1,95.0,2023.03.19
020-0683,"Свободна, не передана",7515.86,27,1,38.0,2023.03.19
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.19
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.19
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.19
019-0594,Занята,17488.0,1,2,,2023.03.19
020-0156,Занята,13288.0,21,15,,2023.03.19
019-0676,"Свободна, не передана",6291.0,29,20,94.0,2023.03.19
019-0674,Занята,9030.0,6,0,,2023.03.19
020-0157,Занята,7243.9,30,7,55.0,2023.03.19
017-0527,Занята,14784.0,8,5,,2023.03.19
023-0091,,17000.0,0,0,,2023.03.20
022-0170,"Свободна, передана",16402.54,1,2,458.0,2023.03.20
022-0526,Занята,18100.0,0,0,,2023.03.20
022-0527,Не передана,9850.0,0,0,,2023.03.20
022-0522,Не передана,13260.0,0,0,,2023.03.20
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.20
022-0525,Не передана,9900.0,0,0,,2023.03.20
022-0523,,27225.0,0,0,,2023.03.20
023-0093,Не передана,17000.0,0,0,,2023.03.20
023-0089,Не передана,7500.0,0,0,,2023.03.20
022-0524,Занята,6800.0,0,0,,2023.03.20
022-0528,Занята,12225.0,0,0,,2023.03.20
022-0354,Занята,20271.0,0,0,,2023.03.20
022-0176,Не передана,17000.0,4,0,,2023.03.20
020-0720,"Свободна, передана",20164.69,9,6,216.0,2023.03.20
019-0429,"Свободна, передана",11410.0,11,7,98.0,2023.03.20
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.20
019-0428,"Свободна, передана",9067.1,12,4,48.0,2023.03.20
019-0431,"Свободна, передана",19433.4,22,16,181.0,2023.03.20
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.20
020-0710,"Свободна, передана",8067.83,8,5,168.0,2023.03.20
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.20
019-0675,"Свободна, передана",8844.0,26,18,165.0,2023.03.20
020-0709,"Свободна, не передана",6848.84,27,1,95.0,2023.03.20
020-0683,"Свободна, не передана",7515.86,27,1,36.0,2023.03.20
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.20
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.20
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.20
019-0594,Занята,17488.0,1,2,,2023.03.20
020-0156,Занята,13288.0,21,15,,2023.03.20
019-0676,"Свободна, не передана",6291.0,29,20,120.0,2023.03.20
019-0674,Занята,9030.0,6,0,,2023.03.20
020-0157,Занята,7243.9,30,7,55.0,2023.03.20
017-0527,Занята,14784.0,8,5,,2023.03.20
023-0091,,17000.0,0,0,,2023.03.21
022-0170,"Свободна, передана",16402.54,1,2,458.0,2023.03.21
022-0526,Занята,18100.0,0,0,,2023.03.21
022-0527,Не передана,9850.0,0,0,,2023.03.21
022-0522,Не передана,13260.0,0,0,,2023.03.21
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.21
022-0525,Не передана,9900.0,0,0,,2023.03.21
022-0523,,27225.0,0,0,,2023.03.21
023-0093,Не передана,17000.0,0,0,,2023.03.21
023-0089,Не передана,7500.0,0,0,,2023.03.21
022-0524,Занята,6800.0,0,0,,2023.03.21
022-0528,Занята,12225.0,0,0,,2023.03.21
022-0354,Занята,20271.0,0,0,,2023.03.21
022-0176,Не передана,17000.0,4,0,,2023.03.21
020-0720,"Свободна, передана",20164.69,9,6,216.0,2023.03.21
019-0429,"Свободна, передана",11410.0,11,7,98.0,2023.03.21
020-0155,"Свободна, не передана",16484.0,8,5,,2023.03.21
019-0428,"Свободна, передана",9067.1,12,4,48.0,2023.03.21
019-0431,"Свободна, передана",19433.4,22,16,181.0,2023.03.21
019-0430,"Свободна, не передана",16094.4,23,15,,2023.03.21
020-0710,"Свободна, передана",8067.83,8,5,168.0,2023.03.21
020-0708,"Свободна, передана",6575.0,25,17,0.0,2023.03.21
019-0675,"Свободна, передана",8844.0,26,18,165.0,2023.03.21
020-0709,"Свободна, не передана",6848.84,27,1,95.0,2023.03.21
020-0683,"Свободна, не передана",7515.86,27,1,36.0,2023.03.21
021-0781,"Свободна, не передана",8226.4,2,0,,2023.03.21
021-0048,"Свободна, не передана",10320.0,6,0,,2023.03.21
020-0711,"Свободна, передана",7265.0,28,19,29.0,2023.03.21
019-0594,Занята,17488.0,1,2,,2023.03.21
020-0156,Занята,13288.0,21,15,,2023.03.21
019-0676,"Свободна, не передана",6291.0,29,20,120.0,2023.03.21
019-0674,Занята,9030.0,6,0,,2023.03.21
020-0157,Занята,7243.9,30,7,55.0,2023.03.21
017-0527,Занята,14784.0,8,5,,2023.03.21
023-0091,,17000.0,0,0,,2023.03.22
022-0170,"Свободна, передана",16402.54,1,2,463.0,2023.03.22
022-0526,Занята,18100.0,0,0,,2023.03.22
022-0527,Не передана,9850.0,0,0,,2023.03.22
022-0522,Не передана,13260.0,0,0,,2023.03.22
022-0355,Передана под снос (для объектов сноса),,1,2,,2023.03.22
022-0525,Не передана,9900.0,0,0,,2023.03.22
022-0523,,27225.0,0,0,,2023.03.22
023-0093,Не передана,17000.0,0,0,,2023.03.22
023-0089,Не передана,7500.0,0,0,,2023.03.22
022-0524,Занята,6800.0,0,0,,2023.03.22
022-0528,Занята,12225.0,0,0,,2023.03.22
022-0354,Занята,20271.0,0,0,,2023.03.22
